MONTH,indonesia,tour to indonesia,bali indonesia,hotel bali indonesia,best hotel in bali indonesia,bali,bali hotel
2008-01,22,0,39,27,0,36,80
2008-02,23,0,23,21,0,37,73
2008-03,23,68,27,52,0,35,82
2008-04,25,0,32,39,0,35,67
2008-05,25,0,31,71,0,35,76
2008-06,24,23,36,13,0,37,79
2008-07,25,22,31,6,0,40,88
2008-08,27,0,34,25,0,39,88
2008-09,23,0,34,23,0,36,82
2008-10,25,0,35,43,0,34,70
2008-11,27,0,39,33,0,35,61
2008-12,25,38,27,27,0,29,63
2009-01,29,18,29,30,0,36,75
2009-02,30,0,30,37,0,36,75
2009-03,30,16,33,65,0,36,76
2009-04,32,33,36,24,83,40,85
2009-05,33,47,49,54,0,41,88
2009-06,32,15,40,76,0,40,88
2009-07,32,15,47,80,0,42,99
2009-08,35,15,45,54,0,42,92
2009-09,31,14,44,100,0,39,77
2009-10,41,27,43,66,66,35,72
2009-11,39,40,43,51,0,36,82
2009-12,37,0,43,35,0,33,72
2010-01,40,50,45,50,62,41,86
2010-02,41,13,51,45,64,39,80
2010-03,44,58,54,71,0,39,75
2010-04,49,25,56,60,0,41,82
2010-05,48,36,58,81,60,43,93
2010-06,47,25,46,32,0,41,87
2010-07,47,0,42,36,0,44,100
2010-08,49,22,48,54,0,49,96
2010-09,44,33,38,38,0,42,80
2010-10,53,41,43,36,0,41,73
2010-11,50,20,36,29,0,40,66
2010-12,54,0,41,56,100,38,62
2011-01,49,37,44,54,46,47,79
2011-02,45,19,42,45,48,43,75
2011-03,46,26,45,28,0,41,71
2011-04,44,46,40,56,0,42,76
2011-05,45,44,43,40,43,41,81
2011-06,44,36,40,52,0,43,82
2011-07,47,71,40,62,44,45,87
2011-08,46,25,44,24,0,44,76
2011-09,50,41,49,45,40,43,81
2011-10,52,54,47,45,38,48,72
2011-11,54,31,42,45,39,43,64
2011-12,49,54,39,72,0,39,60
2012-01,49,71,42,62,35,46,74
2012-02,49,66,43,38,0,43,69
2012-03,49,56,41,42,35,42,73
2012-04,53,58,45,36,0,41,69
2012-05,51,41,40,55,34,42,75
2012-06,49,49,41,44,34,42,80
2012-07,48,35,45,48,34,45,87
2012-08,47,41,46,51,0,47,78
2012-09,55,20,50,31,34,43,72
2012-10,54,68,39,41,31,41,66
2012-11,55,37,41,52,31,42,64
2012-12,54,31,36,59,0,39,59
2013-01,56,17,48,48,0,45,69
2013-02,60,44,45,31,31,43,67
2013-03,61,61,44,56,0,43,71
2013-04,61,28,50,55,0,49,71
2013-05,64,71,47,57,54,51,75
2013-06,63,56,50,59,28,51,78
2013-07,62,34,50,42,28,50,82
2013-08,62,16,50,41,54,50,81
2013-09,71,43,60,62,0,50,74
2013-10,69,26,55,50,25,46,70
2013-11,68,52,48,50,0,46,66
2013-12,71,47,48,51,26,46,73
2014-01,66,43,52,50,0,52,79
2014-02,72,48,54,49,79,51,73
2014-03,73,29,51,54,71,47,70
2014-04,75,70,56,46,25,51,74
2014-05,71,59,54,51,0,51,78
2014-06,72,55,52,43,0,54,81
2014-07,68,43,52,51,0,55,84
2014-08,86,43,68,67,27,65,92
2014-09,87,52,64,42,0,58,74
2014-10,81,15,55,38,0,58,75
2014-11,87,85,53,38,50,53,67
2014-12,82,44,56,50,24,54,78
2015-01,84,56,59,50,69,59,80
2015-02,80,46,59,50,25,62,63
2015-03,78,37,63,45,23,66,69
2015-04,79,42,76,46,0,71,76
2015-05,78,54,63,55,22,61,78
2015-06,75,51,57,46,23,62,77
2015-07,63,23,56,50,0,69,78
2015-08,84,45,61,57,22,71,78
2015-09,77,40,58,44,0,63,70
2015-10,75,25,53,48,42,59,65
2015-11,72,39,56,34,42,62,66
2015-12,69,44,54,46,43,59,73
2016-01,73,53,63,50,44,66,78
2016-02,73,55,61,45,23,64,72
2016-03,75,90,57,37,43,66,78
2016-04,74,63,59,55,0,66,81
2016-05,75,48,58,43,43,71,83
2016-06,67,59,61,49,0,67,73
2016-07,71,42,63,45,0,72,87
2016-08,88,57,66,43,0,76,76
2016-09,86,52,64,37,0,70,70
2016-10,83,27,60,52,44,67,75
2016-11,86,36,59,40,0,65,69
2016-12,91,48,59,30,85,65,72
2017-01,76,45,65,54,41,76,75
2017-02,72,66,66,50,22,69,70
2017-03,76,54,67,51,19,70,78
2017-04,80,92,72,35,21,82,72
2017-05,75,74,74,47,61,77,76
2017-06,69,65,68,45,21,79,77
2017-07,80,43,70,63,21,86,87
2017-08,97,62,76,55,61,81,78
2017-09,91,50,85,47,41,100,69
2017-10,82,100,71,29,20,79,60
2017-11,83,61,90,53,80,91,68
2017-12,78,53,70,35,0,78,82
2018-01,82,96,88,55,19,83,83
2018-02,77,95,76,52,20,87,82
2018-03,78,75,79,51,18,80,77
2018-04,81,52,81,38,20,85,82
2018-05,78,57,81,46,75,83,71
2018-06,66,67,72,48,0,86,80
2018-07,87,84,86,53,76,96,77
2018-08,100,60,100,36,74,97,72
2018-09,85,65,76,42,76,79,69
2018-10,94,56,79,47,37,79,68
2018-11,84,50,76,43,0,74,60
2018-12,78,47,85,41,19,76,64
2019-01,74,90,79,36,18,78,77
2019-02,82,36,81,41,40,74,72
2019-03,77,53,89,37,56,78,67
2019-04,70,43,87,48,19,82,71
2019-05,67,40,93,63,36,81,68
2019-06,63,57,82,54,56,87,79
2019-07,76,60,87,37,18,94,87
2019-08,82,78,90,45,0,93,82
2019-09,85,69,96,46,18,85,78
2019-10,79,66,80,36,17,81,70
2019-11,81,69,83,34,18,86,71
2019-12,75,68,77,47,18,86,80
2020-01,71,76,97,51,49,90,84
2020-02,72,31,90,55,34,78,68
2020-03,93,43,87,40,15,62,37
2020-04,88,18,65,29,0,44,20
2020-05,68,18,54,27,15,44,21
2020-06,77,38,60,33,16,43,22
2020-07,71,13,48,21,0,44,24
2020-08,88,13,59,24,0,46,30
2020-09,94,19,59,12,32,45,24
2020-10,85,23,45,25,0,42,29
2020-11,84,20,51,19,0,43,30
2020-12,83,17,61,17,0,45,30
2021-01,78,26,48,16,0,43,24
2021-02,85,25,65,47,18,44,22
2021-03,94,13,77,26,0,46,24
2021-04,74,10,52,17,34,43,22
2021-05,71,17,43,13,0,41,24
2021-06,85,24,65,21,0,48,33
2021-07,75,10,44,9,0,44,24
2021-08,95,24,49,12,0,42,22
2021-09,93,11,51,21,36,43,24
2021-10,66,18,41,10,25,39,25
2021-11,68,22,46,14,12,39,23
2021-12,84,18,42,22,13,39,24
