MONTH,total
2008-01,437966
2008-02,465449
2008-03,502041
2008-04,459129
2008-05,508955
2008-06,529064
2008-07,567364
2008-08,599506
2008-09,501018
2008-10,529391
2008-11,524162
2008-12,610452
2009-01,473165
2009-02,421555
2009-03,511314
2009-04,487121
2009-05,521735
2009-06,550582
2009-07,593415
2009-08,566797
2009-09,493799
2009-10,547159
2009-11,531669
2009-12,625419
2010-01,493799
2010-02,523135
2010-03,594242
2010-04,555915
2010-05,600031
2010-06,613422
2010-07,658476
2010-08,586530
2010-09,560367
2010-10,594654
2010-11,578152
2010-12,644221
2011-01,548821
2011-02,568057
2011-03,598068
2011-04,608093
2011-05,600191
2011-06,674402
2011-07,745451
2011-08,621084
2011-09,650071
2011-10,656006
2011-11,654948
2011-12,724539
2012-01,652692
2012-02,592502
2012-03,658602
2012-04,626100
2012-05,650883
2012-06,695531
2012-07,701200
2012-08,634194
2012-09,683584
2012-10,688341
2012-11,693867
2012-12,766966
2013-01,614328
2013-02,678415
2013-03,725316
2013-04,646117
2013-05,700708
2013-06,789594
2013-07,717784
2013-08,771009
2013-09,770878
2013-10,719903
2013-11,807422
2013-12,860655
2014-01,753079
2014-02,702666
2014-03,765607
2014-04,726332
2014-05,752363
2014-06,851475
2014-07,777210
2014-08,826821
2014-09,791296
2014-10,808767
2014-11,764461
2014-12,915334
2015-01,724698
2015-02,794302
2015-03,792804
2015-04,750999
2015-05,794294
2015-06,815307
2015-07,815351
2015-08,853244
2015-09,870351
2015-10,826196
2015-11,777976
2015-12,913828
2016-01,814303
2016-02,888309
2016-03,915019
2016-04,901095
2016-05,915206
2016-06,857651
2016-07,1032741
2016-08,1031986
2016-09,1006653
2016-10,1040651
2016-11,1002333
2016-12,1113328
2017-01,1107968
2017-02,1023388
2017-03,1059777
2017-04,1171386
2017-05,1148588
2017-06,1144001
2017-07,1370591
2017-08,1393243
2017-09,1250231
2017-10,1161565
2017-11,1062030
2017-12,1147031
2018-01,1097839
2018-02,1197503
2018-03,1363426
2018-04,1302321
2018-05,1242705
2018-06,1322674
2018-07,1547231
2018-08,1511021
2018-09,1370943
2018-10,1291605
2018-11,1157483
2018-12,1405554
2019-01,1201735
2019-02,1243996
2019-03,1311911
2019-04,1274231
2019-05,1249536
2019-06,1434103
2019-07,1468173
2019-08,1530268
2019-09,1388719
2019-10,1346434
2019-11,1280781
2019-12,1377067
2020-01,1290411
2020-02,872765
2020-03,486155
2020-04,158066
2020-05,161842
2020-06,156561
2020-07,155742
2020-08,161549
2020-09,148984
2020-10,152293
2020-11,144476
2020-12,164079
2021-01,137230
2021-02,115765
2021-03,130933
2021-04,125001
2021-05,152604
2021-06,137247
2021-07,135438
2021-08,124751
2021-09,124071
2021-10,148645
2021-11,153199
2021-12,163619
