MONTH,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
January,437966,473165,493799,548821,652692,614328,753079,724698,814303,1107968,1097839,1201735,1290411,137230
February,465449,421555,523135,568057,592502,678415,702666,794302,888309,1023388,1197503,1243996,872765,115765
March,502041,511314,594242,598068,658602,725316,765607,792804,915019,1059777,1363426,1311911,486155,130933
April,459129,487121,555915,608093,626100,646117,726332,750999,901095,1171386,1302321,1274231,158066,125001
May,508955,521735,600031,600191,650883,700708,752363,794294,915206,1148588,1242705,1249536,161842,152604
Juny,529064,550582,613422,674402,695531,789594,851475,815307,857651,1144001,1322674,1434103,156561,137247
July,567364,593415,658476,745451,701200,717784,777210,815351,1032741,1370591,1547231,1468173,155742,135438
Augus,599506,566797,586530,621084,634194,771009,826821,853244,1031986,1393243,1511021,1530268,161549,124751
September,501018,493799,560367,650071,683584,770878,791296,870351,1006653,1250231,1370943,1388719,148984,124071
October,529391,547159,594654,656006,688341,719903,808767,826196,1040651,1161565,1291605,1346434,152293,148645
November,524162,531669,578152,654948,693867,807422,764461,777976,1002333,1062030,1157483,1280781,144476,153199
December,610452,625419,644221,724539,766966,860655,915334,913828,1113328,1147031,1405554,1377067,164079,163619
