MONTH,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
January,204,217,374,356,379,283,342,457,427,432,506,452,518,235
Pebruary,177,208,333,317,308,321,426,358,393,415,489,426,428,306
March,287,256,341,257,338,336,395,381,446,415,458,457,377,280
April,198,333,313,304,302,314,397,390,398,454,439,420,264,252
May,238,312,419,337,338,419,364,411,421,484,491,448,247,209
Juny,212,291,278,297,339,385,357,391,376,424,419,478,289,276
July,212,315,269,396,342,348,353,339,380,450,559,459,221,206
August,213,283,318,259,310,354,448,418,406,510,539,470,260,244
September,198,305,275,349,305,360,377,352,379,483,492,477,285,279
October,207,350,287,256,340,341,322,367,408,441,460,429,249,224
November,195,291,241,318,322,330,433,371,355,526,387,442,247,224
Desember,209,220,351,313,278,362,388,388,450,396,410,451,253,242
