,MONTH,BPS,TRENDS,DELAY0,DELAY1,DELAY2,DELAY3,DELAY4,DELAY5,DELAY6,DELAY7,DELAY8,DELAY9,DELAY10,DELAY11,DELAY12
0,2008-01-01,437966,204,291312,0,0,0,0,0,0,0,0,0,0,0,0
1,2008-02-01,465449,177,219303,291312,0,0,0,0,0,0,0,0,0,0,0
2,2008-03-01,502041,287,576583,219303,291312,0,0,0,0,0,0,0,0,0,0
3,2008-04-01,459129,198,274428,576583,219303,291312,0,0,0,0,0,0,0,0,0
4,2008-05-01,508955,238,396508,274428,576583,219303,291312,0,0,0,0,0,0,0,0
5,2008-06-01,529064,212,314608,396508,274428,576583,219303,291312,0,0,0,0,0,0,0
6,2008-07-01,567364,212,314608,314608,396508,274428,576583,219303,291312,0,0,0,0,0,0
7,2008-08-01,599506,213,317583,314608,314608,396508,274428,576583,219303,291312,0,0,0,0,0
8,2008-09-01,501018,198,274428,317583,314608,314608,396508,274428,576583,219303,291312,0,0,0,0
9,2008-10-01,529391,207,299943,274428,317583,314608,314608,396508,274428,576583,219303,291312,0,0,0
10,2008-11-01,524162,195,266175,299943,274428,317583,314608,314608,396508,274428,576583,219303,291312,0,0
11,2008-12-01,610452,209,305767,266175,299943,274428,317583,314608,314608,396508,274428,576583,219303,291312,0
12,2009-01-01,473165,217,329623,305767,266175,299943,274428,317583,314608,314608,396508,274428,576583,219303,291312
13,2009-02-01,421555,208,302848,329623,305767,266175,299943,274428,317583,314608,314608,396508,274428,576583,219303
14,2009-03-01,511314,256,458752,302848,329623,305767,266175,299943,274428,317583,314608,314608,396508,274428,576583
15,2009-04-01,487121,333,776223,458752,302848,329623,305767,266175,299943,274428,317583,314608,314608,396508,274428
16,2009-05-01,521735,312,681408,776223,458752,302848,329623,305767,266175,299943,274428,317583,314608,314608,396508
17,2009-06-01,550582,291,592767,681408,776223,458752,302848,329623,305767,266175,299943,274428,317583,314608,314608
18,2009-07-01,593415,315,694575,592767,681408,776223,458752,302848,329623,305767,266175,299943,274428,317583,314608
19,2009-08-01,566797,283,560623,694575,592767,681408,776223,458752,302848,329623,305767,266175,299943,274428,317583
20,2009-09-01,493799,305,651175,560623,694575,592767,681408,776223,458752,302848,329623,305767,266175,299943,274428
21,2009-10-01,547159,350,857500,651175,560623,694575,592767,681408,776223,458752,302848,329623,305767,266175,299943
22,2009-11-01,531669,291,592767,857500,651175,560623,694575,592767,681408,776223,458752,302848,329623,305767,266175
23,2009-12-01,625419,220,338800,592767,857500,651175,560623,694575,592767,681408,776223,458752,302848,329623,305767
24,2010-01-01,493799,374,979132,338800,592767,857500,651175,560623,694575,592767,681408,776223,458752,302848,329623
